72.659	44000
72.664	44000
72.669	52000
72.674	44000
72.679	32000
72.684	12000
72.689	28000
72.694	24000
72.699	40000
72.704	8000
72.709	8000
72.714	40000
72.719	48000
72.724	40000
72.729	12000
72.734	28000
72.739	24000
72.744	20000
72.749	40000
72.754	44000
72.759	40000
72.764	8000
72.769	44000
72.774	36000
72.779	16000
72.784	20000
72.789	40000
72.794	44000
72.799	44000
72.804	24000
72.809	24000
72.814	32000
72.819	24000
72.824	48000
72.829	24000
72.834	32000
72.839	24000
72.844	20000
72.849	28000
72.854	24000
72.859	36000
72.864	28000
72.869	24000
72.874	44000
72.879	52000
72.884	28000
72.889	32000
72.894	16000
72.899	28000
72.904	32000
72.909	52000
72.914	40000
72.919	36000
72.924	28000
72.929	20000
72.934	28000
72.939	36000
72.944	36000
72.949	40000
72.954	56000
72.959	60000
72.964	16000
72.969	36000
72.974	48000
72.979	24000
72.984	8000
72.989	28000
72.994	16000
72.999	32000
73.004	40000
73.009	36000
73.014	8000
73.019	44000
73.024	52000
73.029	24000
73.034	20000
73.039	24000
73.044	44000
73.049	40000
73.054	60000
73.059	24000
73.064	28000
73.069	48000
73.074	36000
73.079	24000
73.084	16000
73.089	44000
73.094	40000
73.099	28000
73.104	28000
73.109	56000
73.114	32000
73.119	28000
73.124	32000
73.129	52000
73.134	28000
73.139	76000
73.144	48000
73.149	10000
73.154	36000
73.159	48000
73.164	24000
73.169	60000
73.174	12000
73.179	52000
73.184	40000
73.189	28000
73.194	56000
73.199	40000
73.204	40000
73.209	48000
73.214	16000
73.219	44000
73.224	36000
73.229	52000
73.234	40000
73.239	44000
73.244	44000
73.249	20000
73.254	48000
73.259	16000
73.264	36000
73.269	32000
73.274	12000
73.279	40000
73.284	40000
73.289	24000
73.294	44000
73.299	28000
73.304	16000
73.309	40000
73.314	32000
73.319	44000
73.324	36000
73.329	36000
73.334	56000
73.339	32000
73.344	28000
73.349	32000
73.354	20000
73.359	20000
73.364	40000
73.369	52000
73.374	32000
73.379	32000
73.384	32000
73.389	24000
73.394	32000
73.399	44000
73.404	64000
73.409	28000
73.414	44000
73.419	52000
73.424	56000
73.429	24000
73.434	28000
